price,size,bed_rooms,toilets,house_type,property_legal_document,city,district,ward,street,floors
1930000000.0,64.0,2.0,2.0,,Đang chờ sổ,Tp Hồ Chí Minh,Quận Gò Vấp,Phường 14,"số 59 Đường 57, phường 14, quận Gò Vấp, Tp.HCM",
6000000000.0,100.0,,,,Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường Bình An,Đường Thống Nhất,
10000000000.0,72.0,4.0,4.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận 10,Phường 12,Sư Vạn Hạnh,3.0
600000000.0,32.0,1.0,1.0,,1,Bình Thuận,Thành phố Phan Thiết,Phường Mũi Né,"đường DT716, thuộc xã Hòa Thắng – Mũi Né, TP. Phan Thiết, Bình Thuận",
480000000.0,105.4,3.0,2.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Huyện Bình Chánh,Xã Hưng Long,Đoàn Nguyên Tuấn,1.0
18500000000.0,310.0,8.0,6.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,Tỉnh Lộ 10,1.0
1500000000.0,445.0,,,,Đã có sổ,Bình Dương,Huyện Phú Giáo,Xã An Thái,ĐH 507,
5500000000.0,52.0,4.0,3.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận 8,Phường 16,,4.0
495000000.0,13.0,1.0,1.0,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,Tp Hồ Chí Minh,Quận 12,Phường Hiệp Thành,Lê Văn Khương,2.0
6100000000.0,200.0,5.0,4.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận 7,Phường Tân Phong,Lê Văn Lương,4.0
2000000000.0,1141.0,,,,Đã có sổ,Bình Dương,Huyện Dầu Tiếng,Xã Minh Thạnh,ĐT 749A,
1500000000.0,127.0,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Huyện Xuyên Mộc,Xã Phước Thuận,TL 328,
920000000.0,100.0,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Thành phố Bà Rịa,Xã Hoà Long,Đường số 56,
2600000000.0,8000.0,,,,Đã có sổ,Đồng Nai,Huyện Định Quán,Xã Ngọc Định,ấp hòa thuận,
2650000000.0,200.0,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Huyện Đất Đỏ,Xã Lộc An,Đường Ven Biển,
3500000000.0,110.0,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Huyện Đất Đỏ,Thị trấn Phước Hải,Phạm Ngọc Thạch,
6600000000.0,86.0,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Huyện Đất Đỏ,Thị trấn Phước Hải,Trần Hưng Đạo,
4800000000.0,80.0,2.0,2.0,,Sổ hồng riêng,Tp Hồ Chí Minh,Quận 4,Phường 18,Nguyễn Tất Thành,
