street,ward,district,city,size,property_legal_document,bed_rooms,toilets,floors,price,house_type
Tôn Đức Thắng,Phường Hòa Minh,Quận Liên Chiểu,Đà Nẵng,60.8,Sổ đỏ,4.0,1.0,2.0,5 tỷ 800 triệu,nhà mặt tiền
Nguyễn Văn Thoại,Bắc Phú Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,110.0,Sổ đỏ,6.0,5.0,,13 tỷ 300 triệu,nhà mặt tiền
Xuân Thiều 8,Phường Hòa Hiệp Nam,Quận Liên Chiểu,Đà Nẵng,80.0,Sổ đỏ,2.0,1.0,,3 tỷ 600 triệu,nhà mặt tiền
Lê Duy Đình,Phường An Khê,Quận Thanh Khê,Đà Nẵng,76.0,Sổ hồng,4.0,4.0,4.0,7 tỷ 200 triệu,nhà mặt tiền
Lê Duẩn,Phường Tân Chính,Quận Thanh Khê,Đà Nẵng,108.3,Sổ đỏ,4.0,3.0,,15 tỷ 500 triệu,nhà mặt tiền
Lê Duẩn,Phường Tân Chính,Quận Thanh Khê,Đà Nẵng,108.3,Sổ đỏ,4.0,2.0,5.0,15 tỷ 500 triệu,nhà mặt tiền
Võ Văn Tần,Phường Chính Gián,Quận Thanh Khê,Đà Nẵng,70.0,Sổ đỏ,5.0,4.0,5.0,33 tỷ,nhà mặt tiền
Nguyễn Thúy,Phường Hòa Minh,Quận Liên Chiểu,Đà Nẵng,85.5,Sổ đỏ,4.0,3.0,3.0,7 tỷ 150 triệu,nhà mặt tiền
Lê Ninh,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,88.7,Sổ hồng,11.0,11.0,6.0,17 tỷ 900 triệu,nhà mặt tiền
An Thượng 1,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,80.0,Sổ đỏ,15.0,15.0,6.0,25 tỷ,nhà mặt tiền
Võ Nguyên Giáp,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,140.0,Sổ đỏ,15.0,15.0,7.0,40 tỷ,nhà mặt tiền
Phước Trường 1,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,90.0,Sổ đỏ,11.0,11.0,7.0,17 tỷ 500 triệu,nhà mặt tiền
Nguyễn Duy Hiệu,Phường An Hải Đông,Quận Sơn Trà,Đà Nẵng,156.9,Sổ đỏ,23.0,30.0,6.0,26 tỷ 200 triệu,nhà mặt tiền
Nguyễn Văn Thoại,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,102.0,Sổ hồng,30.0,20.0,6.0,20 tỷ,nhà mặt tiền
Hoàng Sa,Phường Thọ Quang,Quận Sơn Trà,Đà Nẵng,143.0,Sổ đỏ,14.0,7.0,5.0,45 tỷ,nhà mặt tiền
02 Võ Văn Tần,Phường Chính Gián,Quận Thanh Khê,Đà Nẵng,70.0,Sổ đỏ,5.0,4.0,4.0,36 tỷ,nhà mặt tiền
Tôn Đức Thắng,Phường Hòa Minh,Quận Liên Chiểu,Đà Nẵng,87.0,Sổ đỏ,1.0,1.0,,6 tỷ 700 triệu,nhà mặt tiền
Chế Lan Viên,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,60.0,Sổ đỏ,2.0,3.0,2.0,4 tỷ 900 triệu,nhà mặt tiền
Phạm Hữu Kĩnh,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,57.0,Sổ đỏ,2.0,1.0,,4 tỷ 850 triệu,nhà mặt tiền
Nguyễn Lương Bằng,Phường Hòa Khánh Bắc,Quận Liên Chiểu,Đà Nẵng,379.0,Sổ đỏ,8.0,4.0,2.0,11 tỷ 200 triệu,nhà mặt tiền
Nguyễn Duy Hiệu,Phường An Hải Đông,Quận Sơn Trà,Đà Nẵng,90.0,Sổ đỏ,3.0,2.0,,4 tỷ,nhà mặt tiền
Lương Thế Vinh,Phường An Hải Đông,Quận Sơn Trà,Đà Nẵng,,Sổ đỏ,,,3.0,5 tỷ 400 triệu,nhà mặt tiền
Văn Tiến Dũng,Phường Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng,100.0,Sổ hồng,11.0,11.0,6.0,11 tỷ 500 triệu,nhà mặt tiền
Hóa Sơn 6,Phường Hòa Cường Nam,Quận Hải Châu,Đà Nẵng,66.0,Sổ hồng,3.0,3.0,3.0,4 tỷ 900 triệu,nhà mặt tiền
Trương Chí Cương,Phường Hòa Cường Nam,Quận Hải Châu,Đà Nẵng,54.0,Sổ hồng,4.0,3.0,3.0,4 tỷ 800 triệu,nhà mặt tiền
Khúc Hạo,Nại Hiên Đông,Quận Sơn Trà,Đà Nẵng,91.0,Sổ đỏ,2.0,2.0,2.0,6 tỷ 550 triệu,nhà mặt tiền
ngô trí hoà,Nại Hiên Đông,Quận Sơn Trà,Đà Nẵng,72.0,Sổ đỏ,2.0,1.0,,3 tỷ 900 triệu,nhà mặt tiền
Lê Chân,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,70.0,Sổ đỏ,3.0,2.0,3.0,5 tỷ 550 triệu,nhà mặt tiền
Đinh Thị Hòa,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,98.0,Sổ hồng,9.0,9.0,7.0,13 tỷ 500 triệu,nhà mặt tiền
Đa Mặn 2,Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,90.0,Sổ hồng,4.0,2.0,,4 tỷ 250 triệu,nhà mặt tiền
An Cư 2,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,96.0,Sổ hồng,11.0,11.0,4.0,11 tỷ 500 triệu,nhà mặt tiền
Nguyễn Khánh Toàn,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,74.0,Sổ hồng,2.0,2.0,2.0,4 tỷ 990 triệu,nhà mặt tiền
Trần Văn Dư,Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,100.0,Sổ hồng,6.0,6.0,3.0,9 tỷ 399 triệu,nhà mặt tiền
An Cư 2,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,56.0,Sổ hồng,3.0,2.0,2.0,5 tỷ,nhà mặt tiền
An Hải 6,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,92.0,Sổ hồng,2.0,1.0,,5 tỷ 100 triệu,nhà mặt tiền
Phạm Kiệt,Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,90.0,Sổ hồng,4.0,4.0,2.0,9 tỷ,nhà mặt tiền
