street,ward,district,city,size,property_legal_document,bed_rooms,toilets,floors,price,house_type
Tôn Đức Thắng,Hòa Minh,Liên Chiểu,Đà Nẵng,60.8,1,4,1,2,5.8,1
Nguyễn Văn Thoại,Bắc Phú Mỹ,Ngũ Hành Sơn,Đà Nẵng,110.0,1,6,5,4,13.3,1
Xuân Thiều 8,Hòa Hiệp Nam,Liên Chiểu,Đà Nẵng,80.0,1,2,1,2,3.6,1
Lê Duy Đình,An Khê,Thanh Khê,Đà Nẵng,76.0,1,4,4,4,7.2,1
Lê Duẩn,Tân Chính,Thanh Khê,Đà Nẵng,108.3,1,4,3,4,15.5,1
Nguyễn Thúy,Hòa Minh,Liên Chiểu,Đà Nẵng,85.5,1,4,3,3,7.15,1
Tôn Đức Thắng,Hòa Minh,Liên Chiểu,Đà Nẵng,87.0,1,1,1,2,6.7,1
Chế Lan Viên,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,60.0,1,2,3,2,4.9,1
Phạm Hữu Kĩnh,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,57.0,1,2,1,2,4.85,1
Nguyễn Duy Hiệu,An Hải Đông,Sơn Trà,Đà Nẵng,90.0,1,3,2,2,4.0,1
Hóa Sơn 6,Hòa Cường Nam,Hải Châu,Đà Nẵng,66.0,1,3,3,3,4.9,1
Trương Chí Cương,Hòa Cường Nam,Hải Châu,Đà Nẵng,54.0,1,4,3,3,4.8,1
Khúc Hạo,Nại Hiên Đông,Sơn Trà,Đà Nẵng,91.0,1,2,2,2,6.55,1
Ngô Trí Hoà,Nại Hiên Đông,Sơn Trà,Đà Nẵng,72.0,1,2,1,2,3.9,1
Lê Chân,An Hải Bắc,Sơn Trà,Đà Nẵng,70.0,1,3,2,3,5.55,1
Đa Mặn 2,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,90.0,1,4,2,2,4.25,1
Nguyễn Khánh Toàn,Hòa Cường Bắc,Hải Châu,Đà Nẵng,74.0,1,2,2,2,4.99,1
Trần Văn Dư,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,100.0,1,6,6,3,9.399,1
An Cư 2,An Hải Bắc,Sơn Trà,Đà Nẵng,56.0,1,3,2,2,5.0,1
An Hải 6,An Hải Bắc,Sơn Trà,Đà Nẵng,92.0,1,2,1,2,5.1,1
Phạm Kiệt,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,90.0,1,4,4,2,9.0,1
Yết Kiêu,Thọ Quang,Sơn Trà,Đà Nẵng,125.0,1,3,2,2,5.25,1
Thế Lữ,An Hải Bắc,Sơn Trà,Đà Nẵng,120.0,1,3,2,2,6.3,1
Lê Thanh Nghị,Hòa Cường Bắc,Hải Châu,Đà Nẵng,87.0,1,5,6,4,11.9,1
Mai Hắc Đế,An Hải Tây,Sơn Trà,Đà Nẵng,76.0,1,2,2,2,6.6,1
An Trung,An Hải Tây,Sơn Trà,Đà Nẵng,58.0,1,3,3,3,3.95,1
Ngô Quyền,Mân Thái,Sơn Trà,Đà Nẵng,150.0,1,3,3,2,10.199,1
Dương Thị Xuân Quý,Bắc Mỹ An,Ngũ Hành Sơn,Đà Nẵng,100.0,1,3,2,2,10.299,1
Mỹ An 23,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,88.0,1,2,2,2,5.199,1
Doãn Uẩn,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,90.0,1,2,3,2,5.3,1
Mai Thúc Lân,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,138.0,1,3,2,2,19.999,1
Lê Văn Hiến,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,112.0,1,2,2,2,7.899,1
Nguyễn Thông,An Hải Tây,Sơn Trà,Đà Nẵng,100.0,1,4,4,3,9.999,1
Bàu Tràm 1,Khuê Trung,Cẩm Lệ,Đà Nẵng,122.0,1,5,4,3,6.589,1
Cô Giang,Phước Ninh,Hải Châu,Đà Nẵng,146.3,1,4,3,3,19.5,1
Lê Văn Quý,Phước Mỹ,Sơn Trà,Đà Nẵng,75.0,1,4,4,4,10.8,1
Trần Minh Thiệt,Hòa Quý,Ngũ Hành Sơn,Đà Nẵng,100.0,1,3,3,2,4.1,1
Phạm Phú Tiết,Khuê Trung,Cẩm Lệ,Đà Nẵng,97.0,1,1,1,3,6.15,1
Vùng Trung 18,Hòa Hải,Ngũ Hành Sơn,Đà Nẵng,103.0,1,1,1,2,3.7,1
Đoàn Khuê,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,95.0,1,3,4,3,7.8,1
Trần Khánh Dư,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,95.0,1,2,2,3,8.8,1
An Thượng 38,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,60.0,1,7,7,4,9.0,1
An Hải 6,An Hải Bắc,Sơn Trà,Đà Nẵng,100.0,1,3,2,3,7.5,1
Chính Hữu,An Hải Bắc,Sơn Trà,Đà Nẵng,132.0,1,2,3,3,9.899,1
Núi Thành,Hòa Cường Bắc,Hải Châu,Đà Nẵng,100.2,1,5,5,3,13.6,1
Trần Cao Vân,Tam Thuận,Thanh Khê,Đà Nẵng,52.0,1,3,4,3,4.95,1
Lưu Quý Kỳ,Hòa Cường Nam,Hải Châu,Đà Nẵng,60.7,1,4,4,3,0.005,1
Ỷ Lan Nguyên Phi,Hòa Cường Bắc,Hải Châu,Đà Nẵng,90.0,1,3,3,3,9.2,1
Đinh Tiên Hoàng,Tam Thuận,Thanh Khê,Đà Nẵng,72.0,1,2,2,2,3.8,1
Hóa Sơn 1,Hải Châu 1,Hải Châu,Đà Nẵng,120.0,1,4,4,4,11.599,1
Xô Viết Nghệ Tĩnh,Hòa Cường Nam,Hải Châu,Đà Nẵng,18.54,1,3,3,2,1.093,1
Trần Hưng Đạo,An Hải Tây,Sơn Trà,Đà Nẵng,100.0,1,4,6,3,0.03,1
Đoàn Hữu Trưng,Hòa An,Cẩm Lệ,Đà Nẵng,92.0,1,3,3,2,4.7,1
Nguyễn Đức Cảnh,Thuận Phước,Hải Châu,Đà Nẵng,80.0,1,3,2,2,5.0,1
Nguyễn Hoàng,Bình Hiên,Hải Châu,Đà Nẵng,73.0,1,2,2,2,7.2,1
Phạm Nhữ Tăng,Hòa Khê,Thanh Khê,Đà Nẵng,90.0,1,3,3,2,4.299,1
Dương Đức Hiền,Hòa Minh,Liên Chiểu,Đà Nẵng,72.0,1,3,5,3,5.85,1
Lê Văn Duyệt,Nại Hiên Đông,Sơn Trà,Đà Nẵng,63.0,1,2,2,3,3.726,1
Hà Đặc,Phước Mỹ,Sơn Trà,Đà Nẵng,63.0,1,3,3,3,7.5,1
Lê Văn Duyệt,Nại Hiên Đông,Sơn Trà,Đà Nẵng,77.7,1,2,2,3,4.428,1
An Nhơn,An Hải Bắc,Sơn Trà,Đà Nẵng,114.0,1,4,4,3,9.7,1
Nguyễn Chí Diểu,An Hải Bắc,Sơn Trà,Đà Nẵng,110.0,1,5,5,3,7.1,1
Hoàng Bích Sơn,An Hải Bắc,Sơn Trà,Đà Nẵng,110.0,1,3,3,3,8.5,1
Xuân Hòa 2,Thanh Khê Đông,Thanh Khê,Đà Nẵng,60.0,1,3,2,2,4.2,1
Chu Huy Mân,Nại Hiên Đông,Sơn Trà,Đà Nẵng,160.0,1,6,6,3,9.85,1
Ngô Quyền,An Hải Bắc,Sơn Trà,Đà Nẵng,90.0,1,3,3,3,7.499,1
Trần Thanh Mại,An Hải Bắc,Sơn Trà,Đà Nẵng,89.0,1,4,4,4,7.6,1
Phan Bôi,An Hải Đông,Sơn Trà,Đà Nẵng,80.0,1,4,4,4,6.799,1
Kỳ Đồng,Thanh Khê Đông,Thanh Khê,Đà Nẵng,100.0,1,3,3,3,8.499,1
Mẹ Nhu,Thanh Khê Tây,Thanh Khê,Đà Nẵng,44.0,1,2,2,2,3.25,1
Nguyễn Đức Trung,Thanh Khê Đông,Thanh Khê,Đà Nẵng,80.0,1,4,4,4,11.0,1
Bình An 7,Hòa Cường Bắc,Hải Châu,Đà Nẵng,95.0,1,3,3,2,5.9,1
Cần Giuộc,An Khê,Thanh Khê,Đà Nẵng,90.0,1,3,2,2,5.5,1
Khúc Hạo,Nại Hiên Đông,Sơn Trà,Đà Nẵng,125.0,1,4,5,3,7.2,1
Trưng Nữ Vương,Hòa Thuận Tây,Hải Châu,Đà Nẵng,100.0,1,4,4,3,10.5,1
Thanh Hải,Thanh Bình,Hải Châu,Đà Nẵng,110.0,1,4,4,2,8.5,1
Đa Mặn 6,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,100.0,1,4,4,4,7.75,1
Tiên Sơn 17,Hòa Cường Bắc,Hải Châu,Đà Nẵng,105.0,1,2,2,2,6.4,1
Hàm Nghi,Vĩnh Trung,Thanh Khê,Đà Nẵng,51.0,1,3,3,4,13.5,1
Bình Hòa 2,Khuê Trung,Cẩm Lệ,Đà Nẵng,60.0,1,4,3,3,4.1,1
Ỷ Lan Nguyên Phi,Hòa Cường Bắc,Hải Châu,Đà Nẵng,40.0,1,2,2,2,3.4,1
Lê Văn Duyệt,An Hải Đông,Sơn Trà,Đà Nẵng,109.0,1,3,2,3,7.3,1
Lê Thanh Nghị,Hòa Cường Bắc,Hải Châu,Đà Nẵng,50.0,1,3,2,3,3.95,1
Lê Thanh Nghị,Hòa Cường Bắc,Hải Châu,Đà Nẵng,50.0,1,3,2,3,3.95,1
Hoá Sơn 10,Hòa Cường Nam,Hải Châu,Đà Nẵng,120.0,1,4,4,4,16.0,1
Bình An 1,Hòa Cường Bắc,Hải Châu,Đà Nẵng,77.0,1,2,2,2,4.999,1
Huỳnh Thúc Kháng,Nam Dương,Hải Châu,Đà Nẵng,90.0,1,4,3,2,16.7,1
Nguyễn Hữu Thọ,Khuê Trung,Cẩm Lệ,Đà Nẵng,82.0,1,4,5,4,14.9,1
Tố Hữu,Hòa Cường Nam,Hải Châu,Đà Nẵng,100.0,1,5,4,3,10.5,1
An Thượng 26,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,90.0,1,4,5,4,14.5,1
Nguyễn Hoàng,Vĩnh Trung,Thanh Khê,Đà Nẵng,108.0,1,3,2,2,11.0,1
An Dương Vương,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,100.0,1,3,3,3,7.2,1
An Thượng 32,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,81.0,1,5,4,3,13.0,1
Lê Ninh,An Hải Bắc,Sơn Trà,Đà Nẵng,88.0,1,4,4,3,9.2,1
Thạch Lam,Phước Mỹ,Sơn Trà,Đà Nẵng,82.0,1,7,6,4,13.5,1
Hàm Tử,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,148.0,1,3,4,2,22.0,1
Nguyễn Duy Hiệu,An Hải Đông,Sơn Trà,Đà Nẵng,90.0,1,5,4,3,9.0,1
Lương Nhữ Hộc,Hòa Cường Bắc,Hải Châu,Đà Nẵng,144.0,1,5,7,3,16.7,1
Thanh Thủy,Thanh Bình,Hải Châu,Đà Nẵng,160.0,1,4,6,4,19.0,1
Khuê Mỹ Đông 7,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,102.0,1,4,4,3,8.6,1
Hà Huy Tập,Hòa Khê,Thanh Khê,Đà Nẵng,75.0,1,5,4,3,9.899,1
Duy Tân,Hòa Thuận Tây,Hải Châu,Đà Nẵng,133.0,1,2,3,3,16.0,1
Phạm Văn Nghị,Vĩnh Trung,Thanh Khê,Đà Nẵng,110.0,1,4,4,2,10.5,1
Trần Phước Thành,Khuê Trung,Cẩm Lệ,Đà Nẵng,156.0,1,4,4,3,12.5,1
Lý Triện,An Khê,Thanh Khê,Đà Nẵng,125.0,1,2,3,2,10.9,1
Trần Cao Vân,Tam Thuận,Thanh Khê,Đà Nẵng,106.0,1,2,2,2,14.6,1
Nại Thịnh 1,An Hải Đông,Sơn Trà,Đà Nẵng,55.0,1,3,3,3,4.58,1
Nguyễn Sơn,Hòa Cường Nam,Hải Châu,Đà Nẵng,150.0,1,4,4,3,16.8,1
Lê Thị Xuyến,Chính Gián,Thanh Khê,Đà Nẵng,133.0,1,3,3,3,9.399,1
Trần Cao Vân,Xuân Hà,Thanh Khê,Đà Nẵng,81.0,1,3,4,3,12.0,1
Nguyễn Xuân Nhĩ,Hòa Cường Nam,Hải Châu,Đà Nẵng,100.0,1,3,3,3,12.0,1
